Timestamp,Presynaptic,Postsynaptic,Weight
19:51:41,Food,ASJL,2
19:51:41,Food,ASJR,2
19:51:41,Food,AWCL,2
19:51:41,Food,AWCR,2
19:51:41,Food,AWAL,2
19:51:41,Food,AWAR,2
19:51:41,Food,ADFL,2
19:51:41,Food,ADFR,2
19:51:41,Food,ASGL,2
19:51:41,Food,ASGR,2
19:51:41,Food,ASIL,2
19:51:41,Food,ASIR,2
19:51:41,Food,ASJL,2
19:51:41,Food,ASJR,2
19:51:41,Food,AWCL,2
19:51:41,Food,AWCR,2
19:51:41,Food,AWAL,2
19:51:41,Food,AWAR,2
19:51:41,Food,ADFL,2
19:51:41,Food,ADFR,2
19:51:41,Food,ASGL,2
19:51:41,Food,ASGR,2
19:51:41,Food,ASIL,2
19:51:41,Food,ASIR,2
19:51:41,Food,ASJL,2
19:51:41,Food,ASJR,2
19:51:41,Food,AWCL,2
19:51:41,Food,AWCR,2
19:51:41,Food,AWAL,2
19:51:41,Food,AWAR,2
19:51:41,Food,ADFL,2
19:51:41,Food,ADFR,2
19:51:41,Food,ASGL,2
19:51:41,Food,ASGR,2
19:51:41,Food,ASIL,2
19:51:41,Food,ASIR,2
19:51:41,Food,ASJL,2
19:51:41,Food,ASJR,2
19:51:41,Food,AWCL,2
19:51:41,Food,AWCR,2
19:51:41,Food,AWAL,2
19:51:41,Food,AWAR,2
19:51:42,Food,ADFL,2
19:51:42,Food,ADFR,2
19:51:42,Food,ASGL,2
19:51:42,Food,ASGR,2
19:51:42,Food,ASIL,2
19:51:42,Food,ASIR,2
19:51:42,Food,ASJL,2
19:51:42,Food,ASJR,2
19:51:42,Food,AWCL,2
19:51:42,Food,AWCR,2
19:51:42,Food,AWAL,2
19:51:42,Food,AWAR,2
19:51:44,Food,ADFL,2
19:51:44,Food,ADFR,2
19:51:44,Food,ASGL,2
19:51:44,Food,ASGR,2
19:51:44,Food,ASIL,2
19:51:44,Food,ASIR,2
19:51:44,Food,ASJL,2
19:51:44,Food,ASJR,2
19:51:44,Food,AWCL,2
19:51:44,Food,AWCR,2
19:51:44,Food,AWAL,2
19:51:44,Food,AWAR,2
19:51:44,Food,ADFL,2
19:51:44,Food,ADFR,2
19:51:44,Food,ASGL,2
19:51:44,Food,ASGR,2
19:51:44,Food,ASIL,2
19:51:44,Food,ASIR,2
19:51:44,Food,ASJL,2
19:51:44,Food,ASJR,2
19:51:44,Food,AWCL,2
19:51:44,Food,AWCR,2
19:51:44,Food,AWAL,2
19:51:44,Food,AWAR,2
19:51:44,Food,ADFL,2
19:51:44,Food,ADFR,2
19:51:44,Food,ASGL,2
19:51:44,Food,ASGR,2
19:51:44,Food,ASIL,2
19:51:44,Food,ASIR,2
19:51:44,Food,ASJL,2
19:51:44,Food,ASJR,2
19:51:44,Food,AWCL,2
19:51:44,Food,AWCR,2
19:51:44,Food,AWAL,2
19:51:44,Food,AWAR,2
19:51:45,Food,ADFL,2
19:51:45,Food,ADFR,2
19:51:45,Food,ASGL,2
19:51:45,Food,ASGR,2
19:51:45,Food,ASIL,2
19:51:45,Food,ASIR,2
19:51:45,Food,ASJL,2
19:51:45,Food,ASJR,2
19:51:45,Food,AWCL,2
19:51:45,Food,AWCR,2
19:51:45,Food,AWAL,2
19:51:45,Food,AWAR,2
19:52:05,ADFR,ADAR,1
19:52:05,ADFL,ADAL,1
19:52:05,ASGL,AIAL,9
19:52:05,ASGR,AIAR,10
19:52:05,ADFL,ADAL,1
19:52:05,ASGR,AIBR,2
19:52:05,ASGL,AIBL,3
19:52:05,ADFR,ADAR,1
19:52:05,ASGL,AINR,1
19:52:05,ADFL,AIZL,12
19:52:05,ASGL,AINR,1
19:52:05,ADFL,AUAL,5
19:52:05,ASGL,AIZL,1
19:52:05,ADFR,AIAR,1
19:52:05,ASGR,AINL,1
19:52:05,ADFL,OLQVL,1
19:52:05,ADFR,AIYR,1
19:52:05,ADFL,RIAL,15
19:52:05,ASGR,AIYR,1
19:52:05,ASGR,AIZR,1
19:52:05,ADFL,RIGL,1
19:52:05,ASGL,ASKL,1
19:52:05,ADFR,AIZR,8
19:52:05,ADFR,ASHR,1
19:52:05,ADFL,RIR,2
19:52:05,ADFR,AUAR,4
19:52:05,ADFL,SMBVL,2
19:52:05,ADFR,AWBR,1
19:52:05,ADFR,PVPR,1
19:52:05,ADFR,RIAR,16
19:52:05,RIAR,CEPVR,1
19:52:05,ADFR,RIGR,3
19:52:05,RIAR,IL1R,1
19:52:05,ADFR,RIR,3
19:52:05,RIAR,RIAL,4
19:52:05,RIAL,CEPVL,1
19:52:06,ADFR,SMBDR,1
19:52:06,RIAL,RIAR,1
19:52:06,RIAR,RIVL,1
19:52:06,ADFR,SMBVR,2
19:52:06,RIAL,RIVL,2
19:52:06,RIAR,RMDDL,10
19:52:06,ADFR,URXR,1
19:52:06,RIAL,RIVR,4
19:52:06,RIAR,RMDDR,11
19:52:06,RIAR,RMDL,3
19:52:06,RIAL,RMDDL,12
19:52:06,RMDDL,MDR01,1
19:52:06,RIAR,RMDR,8
19:52:06,RIAL,RMDDR,7
19:52:06,RMDDR,MDL01,1
19:52:06,RIAL,RMDL,6
19:52:06,RMDDL,MDR02,1
19:52:06,RMDDR,MDL02,1
19:52:06,RIAR,RMDVL,12
19:52:06,RMDDL,MDR03,1
19:52:06,RIAR,RMDVR,10
19:52:06,RIAL,RMDR,6
19:52:06,RMDDR,MDL03,2
19:52:06,RMDDL,MDR04,1
19:52:06,RIAR,SAADR,1
19:52:06,RMDDR,MDL04,1
19:52:06,RIAL,RMDVL,9
19:52:06,RMDVL,AVER,1
19:52:06,RMDDL,MDR08,2
19:52:06,RIAL,RMDVR,11
19:52:06,RMDVL,MDR01,1
19:52:06,RIAR,SIADL,1
19:52:06,RMDDR,MDR04,1
19:52:06,RMDVR,AVEL,1
19:52:06,RMDDL,MVR01,1
19:52:06,RMDDR,MVR01,1
19:52:06,RMDVL,MVL04,1
19:52:06,RIAL,SIADL,2
19:52:06,RMDDR,MVR02,1
19:52:06,RMDDL,OLQVL,1
19:52:06,RIAR,SIADR,1
19:52:06,RMDVL,MVR01,1
19:52:06,RMDVR,AVER,1
19:52:06,RIAL,SMDDL,8
19:52:06,RIAR,SIAVL,1
19:52:06,RMDVR,MDL01,1
19:52:06,RMDVL,MVR02,1
19:52:06,RMDDR,OLQVR,1
19:52:06,RMDVR,MVL01,1
19:52:06,RIAL,SMDDR,10
19:52:06,RMDDL,RMDL,1
19:52:06,RMDVR,MVL02,1
19:52:06,RIAR,SMDDL,7
19:52:06,RIAL,SMDVL,6
19:52:06,RMDDR,RMDVL,12
19:52:06,RMDDL,RMDVL,1
19:52:06,RMDVL,MVR03,1
19:52:06,RIAR,SMDDR,7
19:52:06,RMDVR,MVL03,1
19:52:06,SMDDR,MDL04,1
19:52:06,RMDVL,MVR04,1
19:52:06,RMDDL,RMDVR,7
19:52:06,RIAL,SMDVR,11
19:52:06,SMDDR,MDL05,1
19:52:06,RMDVR,MVL04,1
