PreSynaptic,PostSynaptic,Weight
AIBR,AVAR,1
AIAL,AIML,2
AIBL,AIYL,1
AIZL,ASEL,1
AWAR,RIFR,2
AIAL,AIZL,1
AIBR,AVBR,3
AIAR,AWAR,1
AIZR,AVEL,4
AIYL,RIML,1
AIBL,ASER,1
AIZL,ASGL,1
AWAR,RIGR,1
AIZR,AVER,1
AIBR,AVEL,1
AIAL,ASER,3
AIZL,ASHL,1
AWAR,RIR,2
AIZL,AVER,5
AIBL,AVAL,2
AIZR,AWAR,1
AIAL,ASGL,1
AIAR,AWCL,1
AIZR,DVA,1
AIBR,DB1,1
AIZR,RIAR,7
AIAR,AWCR,3
AIBR,DVC,2
AIAL,ASHL,1
AIBL,AVBL,5
AIZL,DVA,1
AIAR,RIFR,2
AIZR,RIMR,4
AIBR,PVT,1
AIBL,DVC,1
AIZL,RIAL,8
AIBR,RIAL,1
AIZR,SMBDR,5
AIAL,ASIL,2
AIBL,FLPL,1
AIZR,SMBVR,3
AIAL,ASKL,3
AIBR,RIBL,4
AIBL,PVT,1
AIZL,RIGL,1
AIZR,SMDDR,1
AIBR,RIGL,3
AIAL,AWAL,1
AIZL,RIML,4
AIBL,RIBR,4
AIBR,RIML,1
AIAL,AWCR,1
AIBL,RIFL,1
AIZL,SMBDL,9
AIAL,HSNL,1
AIZL,SMBVL,7
AIBL,RIGR,3
AIBR,RIMR,1
AIZL,VB2,1
AIAL,RIFL,1
AIBR,RIS,1
AIBL,RIML,2
AIAL,RMGL,1
AIBR,RIVR,1
AIBL,RIMR,1
AIBR,SAADL,1
RIML,AIBR,1
AIBR,SMDDL,3
AIBR,SMDVL,1
AIBL,RIVL,1
AIBR,VB1,3
RIML,AIYL,1
AIBL,SAADL,2
RIMR,ADAR,1
RIMR,AIBL,1
AIBL,SAADR,2
RIML,AVAL,1
AIBL,SMDDR,4
RIML,AVAR,2
RIMR,AIYR,1
RIML,AVBL,2
RIML,AVBR,3
RIMR,AVAL,3
RIML,AVEL,2
RIML,AVER,3
RIMR,AVAR,1
RIML,MDR05,2
RIML,MVR05,2
RIMR,AVBL,2
RIML,RIBL,1
RIMR,AVBR,5
RIMR,AVEL,3
RIML,RIS,1
RIMR,AVER,2
RIML,RMDL,1
RIMR,AVJL,1
RIML,RMDR,1
RIMR,AVKL,1
RIML,RMFR,1
RIMR,MDL05,1
RIML,SAADR,1
RIMR,MDL07,1
RIML,SAAVL,3
RIMR,MVL05,1
RIML,SAAVR,2
RIMR,MVL07,1
RIMR,RIBR,1
RIML,SMDDR,5
RIMR,RIS,1
RIML,SMDVL,1
RIMR,RMDL,3
RIMR,RMDR,1
RIMR,RMFL,1
RIMR,RMFR,1
RIMR,SAAVL,3
RIMR,SAAVR,3
RIMR,SMDDL,2
RIMR,SMDDR,4
RIVL,AIBL,1
RIVL,MVR05,-1
RIVL,MVR06,-1
RIVL,MVR08,-2
RIVL,RIAL,1
RIVL,RIAR,1
RIVL,RIVR,2
RIVL,RMDL,2
RIVL,SAADR,3
RIVL,SDQR,2
RIVL,SIAVR,2
RIVL,SMDDR,1
RIVL,SMDVL,1
RIVR,AIBR,1
RIVR,MVL05,-1
RIVR,MVL06,-1
RIVR,MVL08,-1
RIVR,MVR04,-1
RIVR,MVR06,-1
RIVR,RIAL,2
RIVR,RIAR,1
RIVR,RIVL,2
RIVR,RMDDL,1
RIVR,RMDR,1
RIVR,RMDVR,1
RIVR,RMEV,1
RIVR,SAADL,2
RIVR,SDQR,2
RIVR,SIAVL,2
RIVR,SMDDL,2
RIVR,SMDVR,2
RIBR,AIBL,1
RIBR,AIZR,1
RIBR,AVAR,2
RIBR,AVBL,1
RIBR,AVBR,1
RIBR,AVEL,3
RIBR,AVER,1
RIS,AIBR,1
RIBR,BAGL,1
RIBR,OLQDR,2
RIBR,OLQVR,1
RIBR,PVT,1
RIBR,RIAR,2
RIBR,RIBL,3
RIBR,RIBR,1
RIBR,RIGR,1
RIS,AVEL,7
RIS,AVER,7
RIBR,RIH,1
RIS,AVJL,1
RIBR,SIADR,1
RIBR,SIAVR,1
RIS,AVKL,1
RIBR,SIBDR,1
RIS,AVKR,4
RIS,AVL,2
RIBR,SIBVR,1
RIBR,SMBDR,1
RIS,CEPDR,1
RIS,CEPVL,2
RIBR,SMDDL,1
RIS,CEPVR,1
RIBR,SMDDR,1
RIS,DB1,1
RIBR,SMDVL,2
RIS,OLLR,1
RIS,RIBL,3
RIS,RIBR,5
RIS,RIML,1
RIS,RIMR,1
RIS,RMDDL,1
RIS,RMDL,2
RIS,RMDR,4
RIS,SMDDL,1
RIS,SMDDR,1
RIS,SMDVL,1
RIS,SMDVR,1
RIS,URYVR,1
RIBL,AIBR,2
RIBL,AUAL,1
RIBL,AVAL,1
RIBL,AVBL,1
RIBL,AVBR,1
RIBL,AVDR,1
RIBL,AVEL,1
RIBL,AVER,5
RIBL,BAGR,1
RIBL,OLQDL,2
RIBL,OLQVL,1
RIBL,PVT,1
RIBL,RIAL,3
RIBL,RIBL,1
RIBL,RIBR,3
RIBL,RIGL,1
RIBL,SIADL,1
RIBL,SIAVL,1
RIBL,SIBDL,1
RIBL,SIBVL,1
RIBL,SIBVR,1
RIBL,SMBDL,1
RIBL,SMDDL,1
RIBL,SMDVR,2
AVER,AS1,3
AVER,AS2,2
AVER,AS3,1
AVER,AVAL,7
AVER,AVAR,16
AVAR,ADER,1
AVER,AVDR,1
AVAR,AS1,2
AVER,AVEL,1
AVER,DA1,5
AVAR,AS10,1
AVER,DA2,3
AVAR,AS11,6
AVER,DA3,1
AVAR,AS2,2
AVER,DB3,1
AVAR,AS3,1
AVER,RIML,3
AVER,RIMR,2
AVAR,AS4,1
AVER,RMDVL,1
AVAR,AS5,1
AVER,RMDVR,1
AVAR,AS6,1
AVER,RMEV,1
AVER,SABD,2
AVAR,AS7,5
AVER,SABVL,3
AVER,SABVR,3
AVAR,AS8,3
AVER,VA1,1
AVER,VA2,1
AVAR,AS9,1
AVER,VA3,2
AVER,VA4,1
AVAR,AVAL,5
AVER,VA5,1
AVAR,AVBL,1
AVAR,AVDL,1
AVAR,AVDR,2
AVAR,AVEL,2
AVAR,AVER,2
AVAR,DA1,6
AVAR,DA2,2
AVAR,DA3,2
AVAR,DA4,2
AVAR,DA5,5
AVAR,DA6,2
AVAR,DA7,3
AVAR,DA8,1
AVAR,DA9,2
AVAR,DB3,1
AVAR,DB5,2
AVAR,DB6,5
AVAR,LUAL,1
AVAR,LUAR,3
AVAR,PDEL,1
AVAR,PDER,1
AVAR,PVCL,7
AVAR,PVCR,3
AVAR,RIGL,1
AVAR,RIML,2
AVAR,RIMR,1
AVAR,SABD,1
AVAR,SABVL,3
AVAR,SABVR,1
AVAR,URYDR,1
AVAR,URYVL,1
AVAR,VA10,1
AVAR,VA11,7
AVAR,VA12,1
AVAR,VA2,2
AVAR,VA3,2
AVAR,VA4,3
AVAR,VA5,3
AVAR,VA6,2
AVAR,VA7,4
AVAR,VA8,4
AVAR,VA9,6
AVAR,VB9,4
AVAR,VD13,2
VA8,MVR15,6
VA8,MVL15,6
VA8,MVR16,6
VA8,MVL16,6
VA8,AS6,1
VA8,AVAL,10
VA8,AVAR,4
VA8,AVBR,1
VA8,DD4,21
DD4,MDL13,-5
VA8,PDER,1
DD4,MDR13,-5
DD4,MDL15,-5
DD4,MDR15,-5
DD4,MDL16,-5
VA8,PVCR,2
DD4,MDR16,-5
VA8,VA8,1
DD4,VC3,1
VA8,VA9,1
DD4,VD8,1
VA8,VB6,1
VA8,VB8,3
DD4,DD3,1
VA8,VB9,3
VA8,VD7,5
VA8,VD8,1
SIADL,RIBL,1
AVEL,AS1,1
AVEL,AVAL,12
AVEL,AVAR,7
AVAL,AS1,3
AVEL,AVER,1
AVEL,DA1,5
AVAL,AS10,1
AVEL,DA2,1
AVEL,DA3,3
AVAL,AS11,4
AVEL,DA4,1
AVAL,AS2,1
AVEL,PVCR,1
AVAL,AS3,2
AVEL,PVT,1
AVEL,RIML,2
AVAL,AS4,1
AVEL,RIMR,3
AVAL,AS5,1
AVEL,RMDVR,1
AVEL,RMEV,1
AVEL,SABD,6
AVAL,AS6,1
AVEL,SABVL,7
AVAL,AS7,6
AVEL,SABVR,3
AVEL,VA1,5
AVAL,AS8,4
AVEL,VA3,3
AVAL,AS9,4
AVEL,VD2,1
AVEL,VD3,1
AVAL,AVAR,5
AVAL,AVBR,1
AVAL,AVDL,1
AVAL,AVHL,1
AVAL,AVJL,2
AVAL,DA1,2
AVAL,DA2,2
AVAL,DA3,6
AVAL,DA4,3
AVAL,DA5,1
AVAL,DA6,10
DA6,MDL11,6
DA6,MDR11,4
AVAL,DA7,2
DA6,MDL12,4
AVAL,DA8,4
DA6,MDR12,4
DA6,MDL13,4
AVAL,DA9,3
DA6,MDR13,4
AVAL,DB5,2
DA6,MDL14,4
AVAL,DB6,3
DA6,MDR14,4
DA6,MDL16,4
AVAL,FLPL,1
DA6,MDR16,4
AVAL,LUAL,1
DA6,VD4,4
DA6,VD5,3
AVAL,PVCL,2
DA6,VD6,3
DA6,AVAL,10
AVAL,PVCR,5
DA6,AVAR,2
AVAL,PVPL,1
AVAL,RIMR,3
AVAL,SABD,4
AVAL,SABVR,1
AVAL,SDQR,1
AVAL,URYDL,1
AVAL,URYVR,1
AVAL,VA1,3
AVAL,VA10,1
AVAL,VA11,1
AVAL,VA12,2
AVAL,VA2,4
AVAL,VA3,1
AVAL,VA4,1
AVAL,VA5,5
AVAL,VA6,6
AVAL,VA7,2
AVAL,VA8,10
AVAL,VA9,1
AVAL,VB9,5
DA4,MDL11,4
DA4,MDR11,4
DA4,MDL12,4
DA4,MDR12,4
DA4,MDL14,5
DA4,MDR14,5
DA4,VB6,1
DA4,VD4,12
VD4,MVL11,-6
DA4,VD5,15
DA4,AVAL,3
VD5,MVR14,-13
DA4,AVAR,2
DA4,DA1,1
DA4,DA3,1
DA4,DB3,1
VD4,MVR11,-6
VD4,MVL12,-6
DA4,DD2,1
VD4,MVR12,-6
VD4,PVPR,1
VD5,PVPR,1
VD4,VD3,1
VD4,VD5,1
VD5,VA5,2
VD5,VB4,2
VD4,DD2,2
VD5,VD4,1
VD5,VD6,2
VD5,AVAR,1
VD5,MVL14,-13
AS9,MDL17,2
AS8,MDR15,2
AS8,MDL15,2
AS8,MDR18,3
AS9,MDR17,2
AS8,MDL18,3
AS9,MDL20,3
AS8,AVAL,4
AS9,MDR20,3
AS8,AVAR,3
AS9,AVAL,4
AS9,AVAR,1
AS9,DVB,7
PVCR,AQR,1
VA11,MVL19,5
PVCR,AS2,1
PVCR,AVAL,5
PVCR,AVAR,3
PVCR,AVBL,8
VA11,MVR19,5
PVCR,AVBR,6
VA11,MVL20,5
PVCR,AVDL,5
PVCR,AVDR,1
VA11,MVR20,5
PVCR,AVEL,1
PVCR,AVER,1
VA11,PVNR,2
VA11,VB10,1
PVCR,AVJL,3
VA11,VD12,4
PVCR,AVL,1
VA11,AVAL,1
PVCR,DA9,1
VA11,AVAR,7
VA11,DD6,10
PVCR,DB2,1
PVCR,DB3,3
PVCR,DB4,4
PVCR,DB5,1
PVCR,DB6,2
PVCR,DB7,1
PVCR,FLPL,1
PVCR,LUAR,1
PVCR,PDEL,1
PVCR,PHCR,1
PVCR,PLMR,1
PVCR,PVCL,5
PVCR,PVDL,1
PVCR,PVR,1
PVCR,PVWL,2
PVCR,PVWR,1
PVCR,RID,5
PVCR,SIBVR,2
PVCR,VA8,2
PVCR,VA9,1
PVCR,VB10,1
PVCR,VB4,3
PVCR,VB6,2
PVCR,VB7,3
PVCR,VB8,1
AS7,MDL13,2
AS7,MDR13,2
AS7,MDL16,3
AS7,MDR16,3
AS7,AVAL,6
AS7,AVAR,5
AS7,AVBL,2
AS7,AVBR,2
PVCL,AS1,1
PVCL,AVAL,2
PVCL,AVAR,4
PVCL,AVBL,5
PVCL,AVBR,12
PVCL,AVDL,5
PVCL,AVDR,2
PVCL,AVEL,2
PVCL,AVER,1
PVCL,AVJL,1
PVCL,AVJR,1
PVCL,DA2,1
PVCL,DA5,1
PVCL,DA6,1
PVCL,DB2,3
PVCL,DB3,4
PVCL,DB4,3
PVCL,DB5,2
PVCL,DB6,2
PVCL,DB7,3
PVCL,DVA,1
PVCL,PLML,1
PVCL,PVCR,5
PVCL,RID,5
PVCL,RIS,2
PVCL,SIBVL,2
PVCL,VB10,1
PVCL,VB11,1
PVCL,VB3,1
PVCL,VB4,1
PVCL,VB5,1
PVCL,VB6,2
PVCL,VB8,1
PVCL,VB9,2
AVBR,AS1,1
AVBR,AS10,1
AVBR,AS3,1
AVBR,AS4,1
AVBR,AS5,1
AVBR,AS6,1
AVBR,AS7,2
AVBR,AVAL,6
AVBR,AVAR,7
AVBR,AVBL,3
AVBR,DA5,1
AVBR,DB1,3
DA5,MDR13,5
AVBR,DB2,1
AVBR,DB3,1
AVBR,DB4,1
AVBR,DB5,1
AVBR,DB6,1
AVBR,DB7,1
AVBR,DD1,1
AVBR,DVA,1
AVBR,HSNR,1
AVBR,PVNL,2
AVBR,RIBL,1
AVBR,RIBR,1
AVBR,RID,2
AVBR,SIBVL,1
AVBR,VA4,1
AVBR,VA8,1
DA5,MDL13,5
AVBR,VA9,1
DA5,MDR14,4
AVBR,VB10,1
AVBR,VB11,1
DA5,MDL14,4
VA9,MVL15,5
AVBR,VB2,1
DA5,VA4,1
AVBR,VB3,1
AVBR,VB4,1
AVBR,VB6,2
AVBR,VB7,2
AVBR,VB8,3
AVBR,VB9,6
DA5,VA5,2
AVBR,VD10,1
DA5,VD5,1
AVBR,VD3,1
DA5,VD6,16
DA5,AS6,2
DA5,AVAL,1
DA5,AVAR,5
DA5,DB4,1
VD6,MVR13,-5
VA9,MVR15,5
AVBL,AQR,1
VA9,MVL18,5
VA9,MVR18,5
VA9,PVCR,1
VD6,MVL13,-5
VD6,MVR14,-5
VA9,PVT,1
VD6,MVL14,-5
VA9,VB8,1
VD6,MVR16,-5
VD6,MVL16,-5
VA9,VB9,4
VD6,AVAL,1
VA9,VD7,1
VD6,VA6,1
VA9,VD9,10
VA9,AVAL,1
VD6,VB5,2
VA9,AVBR,1
VD6,VD5,2
VD6,VD7,1
VA9,DD4,3
VA9,DD5,15
VA9,DVB,1
VA9,DVC,1
AVBL,AS10,1
AVBL,AS3,1
AVBL,AS4,1
AVBL,AS5,1
AVBL,AS6,1
AVBL,AS7,2
AVBL,AS9,1
VB9,MVL17,6
VA6,MVR13,5
AVBL,AVAL,7
AVBL,AVAR,7
AVBL,AVBR,3
AVBL,AVDL,1
AVBL,AVDR,2
VB9,MVR17,6
AVBL,AVEL,1
VA6,MVL13,5
VA6,MVR14,5
VB9,MVL20,6
VB9,MVR20,6
VA6,MVL14,5
VA6,AVAL,6
VB9,PVCL,2
AVBL,AVER,2
VB9,VA8,3
VA6,AVAR,2
VA6,DD3,24
VB9,VA9,4
AVBL,AVL,1
VA6,VB5,2
VA6,VD5,1
AVBL,DB3,1
VB9,VB8,3
DD3,MDR11,-5
AVBL,DB4,1
VA6,VD6,2
AVBL,DB5,1
VB9,VD10,5
VB9,AVAL,5
AVBL,DB6,2
VB9,AVAR,4
DD3,MDL11,-5
AVBL,DB7,2
AVBL,DVA,1
DD3,MDR13,-6
VB9,AVBL,1
AVBL,PVNR,1
DD3,MDL13,-6
AVBL,RIBL,1
VB9,AVBR,6
AVBL,RIBR,1
DD3,MDR14,-5
VB9,DD5,8
AVBL,RID,1
DD3,MDL14,-5
VB9,DVB,1
AVBL,SDQR,1
DD3,DD2,2
DD3,DD4,1
AVBL,SIBVL,1
AVBL,VA10,1
AVBL,VA2,1
AVBL,VA7,1
AVBL,VB1,1
AVBL,VB10,2
AVBL,VB11,2
AVBL,VB2,3
AVBL,VB4,1
AVBL,VB5,1
AVBL,VB6,1
AVBL,VB7,2
AVBL,VB8,7
AVBL,VB9,1
AVBL,VC3,1
VB8,MVR17,5
VB8,MVL17,5
VB8,MVR18,5
VB8,MVL18,5
VB8,MVR20,5
VB8,MVL20,5
DD5,MDR17,-5
VB8,AVBL,7
VB8,AVBR,3
VB8,DD5,30
DD5,MDL17,-5
VB8,VA8,3
DD5,MDR18,-5
VB8,VA9,1
DD5,MDL18,-5
DD5,MDR20,-5
VB8,VB9,3
DD5,MDL20,-5
DD5,VB8,1
VB8,VD10,1
DD5,VD10,1
VB8,VD9,10
DD5,VD9,1
DB6,MDR17,2
DB6,MDL17,2
DB6,MDR19,2
DB6,MDL19,2
DB6,MDR20,2
DB6,MDL20,2
DB6,AVAL,3
DB6,AVBL,2
DB6,AVBR,1
VD9,MVR17,-7
VD9,MVL17,-7
VD9,MVR18,-7
VD9,PDER,1
VD9,VD10,5
VD9,MVL18,-7
VD10,MVL17,-6
VD10,MVR17,-6
VD10,MVL20,-6
VD10,MVR20,-6
VD10,VB9,2
VD10,VD9,5
VD10,AVBR,1
VD10,DD5,1
VD10,DVC,4
VA5,MVL11,5
VA5,MVR11,5
VA5,MVL14,5
VA5,MVR14,5
VA5,VD5,2
VA5,AS3,2
VA5,AVAL,5
VA5,AVAR,3
VA5,DA5,2
VA5,DD2,5
VA5,DD3,13
DA1,AVAL,2
DA1,AVAR,6
DA1,DA4,1
DA1,DD1,4
DA1,MDL08,8
DA1,MDR08,8
DA1,SABVL,2
DA1,SABVR,3
DA1,VD1,17
DA1,VD2,1
VD1,MVR05,-3
VD1,MVL05,-3
VD1,MVR08,-3
VD1,MVL08,-3
VD1,DD1,4
VD1,DVC,5
VD1,RIFL,1
VD1,RIGL,2
VD1,SMDDR,1
VD1,VA1,2
VD1,VA2,1
VD1,VC1,1
VD1,VD2,7
Left,FLPL,10
Left,FLPR,10
Left,BDUL,1
Left,BDUR,1
Left,SDQR,1
